A,kid_score (IQ score),mom_hs (whether or not she graduated HS,mom_iq,mom_age  (age of childbirth)
1,65,1,121.1175286,27
2,98,1,89.36188171,25
3,85,1,115.4431649,27
4,83,1,99.44963944,25
5,115,1,92.74571,27
6,98,0,107.9018378,18
7,69,1,138.8931061,20
8,106,1,125.1451195,23
9,102,1,81.61952618,24
10,95,1,95.07306862,19
11,91,1,88.57699772,23
12,58,1,94.85970819,24
13,84,1,88.96280085,27
14,78,1,114.114297,26
15,102,0,100.5340719,24
16,110,1,120.4191456,26
17,102,1,114.4268769,23
18,99,1,111.5923576,26
19,105,1,133.8492272,20
20,101,0,97.26480106,17
21,102,1,110.0968061,21
22,115,1,126.7239942,26
23,100,1,97.91159031,20
24,87,1,99.92572516,23
25,99,0,97.59500805,19
26,96,1,121.7480135,27
27,72,1,98.7480787,21
28,78,1,97.91525433,22
29,77,1,80.35855646,24
30,98,1,114.3078606,22
31,69,1,109.1383163,27
32,130,1,101.8171797,23
33,109,1,117.9651043,27
34,106,0,108.6334969,22
35,92,1,96.52861915,27
36,100,1,92.87137547,22
37,107,1,95.89813429,27
38,86,1,107.0154577,25
39,90,1,87.19701175,22
40,110,1,89.36188171,25
41,107,1,102.5309878,21
42,113,1,130.1668602,24
43,65,1,83.4141026,22
44,102,1,125.7534662,24
45,103,0,85.81037656,27
46,111,1,126.5200726,28
47,42,1,79.2030481,21
48,100,1,113.1659072,23
49,67,1,110.3313879,26
50,92,1,99.40922374,28
51,100,1,102.4255265,24
52,110,1,124.9004377,27
53,56,1,94.85970819,24
54,107,1,92.36856455,29
55,97,1,101.8171797,23
56,56,0,79.83353296,21
57,95,1,96.22613927,21
58,78,0,82.35547239,21
59,76,0,76.57564732,24
60,86,1,110.0134829,23
61,79,1,111.5923576,26
62,81,1,113.6574074,17
63,79,0,101.1645568,24
64,79,1,101.341094,25
65,56,1,101.6981635,22
66,52,1,98.81915458,25
67,63,1,93.4981963,20
68,80,1,87.2938899,24
69,87,1,87.316028,23
70,88,1,86.20945742,25
71,92,1,89.83796743,23
72,100,0,121.8700149,20
73,94,0,127.5443786,20
74,117,1,109.9913448,24
75,102,1,90.44631419,24
76,107,1,88.8949027,26
77,99,1,113.0468909,22
78,73,0,78.01315427,25
79,56,1,95.38965088,20
80,78,0,83.61644211,21
81,94,0,86.24628061,19
82,110,1,95.38965088,20
83,109,1,111.2523145,24
84,86,1,127.0144359,24
85,92,1,89.95195087,28
86,91,1,99.2731022,24
87,123,1,81.16557856,25
88,102,1,110.5212875,20
89,105,1,136.4938469,23
90,114,1,123.8620117,24
91,96,1,134.6023923,23
92,66,1,91.09893715,23
93,104,1,103.2693718,19
94,108,1,126.2870729,22
95,84,1,127.5443786,20
96,83,0,92.4738903,28
97,83,1,84.79408857,23
98,92,0,100.5340719,24
99,109,0,108.0030121,22
100,95,0,78.80714497,26
101,93,1,121.1175286,27
102,114,1,103.0560113,24
103,106,1,100.4371938,22
104,87,1,88.55485962,24
105,65,1,85.30555717,22
106,95,1,119.4486177,24
107,61,1,90.55177555,21
108,73,1,96.33403834,19
109,112,1,127.6449208,24
110,113,1,119.8565589,27
111,49,0,112.0189209,28
112,105,1,92.514306,25
113,122,1,96.02379976,22
114,96,1,91.41684213,26
115,97,1,103.0781494,23
116,94,1,100.2436301,26
117,117,1,89.81582933,24
118,136,1,115.0573617,23
119,85,0,96.65062059,20
120,116,1,105.5779508,24
121,106,1,97.72169071,26
122,99,1,131.8357712,27
123,94,1,101.8171797,23
124,89,1,93.4981963,20
125,119,1,104.0265393,26
126,112,1,103.7086343,23
127,104,0,107.3688632,20
128,92,1,92.55112919,19
129,86,1,94.44258376,19
130,69,1,93.14479086,25
131,45,1,83.4141026,22
132,57,1,71.03740514,28
133,94,1,127.6670589,23
134,104,1,115.6878466,23
135,89,0,90.97625687,20
137,52,1,72.50229639,26
138,102,1,100.7106092,25
139,106,1,132.6887997,24
140,98,1,98.54573919,22
141,97,1,115.6657085,24
142,94,1,117.0627998,28
143,111,1,136.4938469,23
144,100,1,106.5484787,26
145,105,1,134.1263066,25
146,90,1,104.6570241,26
147,98,1,99.37856356,21
